LightCondition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,10,0
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,20,0
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,30,0
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,40,2
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,50,0
Light,1,Rainforest,1,8293,termite,untreated,termite_untreated,60,0
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,10,1
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,20,2
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,30,3
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,40,7
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,50,17
Light,1,Rainforest,1,8293,tuna,untreated,tuna_untreated,60,11
Light,1,Rainforest,1,8293,termite,paper,termite_paper,10,1
Light,1,Rainforest,1,8293,termite,paper,termite_paper,20,1
Light,1,Rainforest,1,8293,termite,paper,termite_paper,30,1
Light,1,Rainforest,1,8293,termite,paper,termite_paper,40,0
Light,1,Rainforest,1,8293,termite,paper,termite_paper,50,2
Light,1,Rainforest,1,8293,termite,paper,termite_paper,60,3
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,10,0
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,20,2
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,30,3
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,40,6
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,50,16
Light,1,Rainforest,1,8293,tuna,paper,tuna_paper,60,10
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,10,0
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,20,0
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,30,0
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,40,0
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,50,0
Light,1,Rainforest,2,1407,termite,untreated,termite_untreated,60,0
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,10,0
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,20,0
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,30,1
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,40,0
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,50,0
Light,1,Rainforest,2,1407,tuna,untreated,tuna_untreated,60,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,10,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,20,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,30,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,40,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,50,0
Light,1,Rainforest,2,1407,termite,paper,termite_paper,60,1
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,10,0
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,20,1
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,30,1
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,40,0
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,50,1
Light,1,Rainforest,2,1407,tuna,paper,tuna_paper,60,5
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,10,0
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,20,0
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,30,0
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,40,0
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,50,0
Light,1,Rainforest,3,16964,termite,untreated,termite_untreated,60,0
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,10,2
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,20,0
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,30,0
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,40,1
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,50,3
Light,1,Rainforest,3,16964,tuna,untreated,tuna_untreated,60,4
Light,1,Rainforest,3,16964,termite,paper,termite_paper,10,0
Light,1,Rainforest,3,16964,termite,paper,termite_paper,20,0
Light,1,Rainforest,3,16964,termite,paper,termite_paper,30,0
Light,1,Rainforest,3,16964,termite,paper,termite_paper,40,1
Light,1,Rainforest,3,16964,termite,paper,termite_paper,50,0
Light,1,Rainforest,3,16964,termite,paper,termite_paper,60,1
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,10,6
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,20,15
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,30,30
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,40,30
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,50,40
Light,1,Rainforest,3,16964,tuna,paper,tuna_paper,60,40
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,10,0
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,20,2
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,30,0
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,40,2
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,50,1
Light,1,RubberForest,4,879,termite,untreated,termite_untreated,60,2
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,10,0
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,20,2
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,30,4
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,40,7
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,50,7
Light,1,RubberForest,4,879,tuna,untreated,tuna_untreated,60,5
Light,1,RubberForest,4,879,termite,paper,termite_paper,10,1
Light,1,RubberForest,4,879,termite,paper,termite_paper,20,1
Light,1,RubberForest,4,879,termite,paper,termite_paper,30,1
Light,1,RubberForest,4,879,termite,paper,termite_paper,40,1
Light,1,RubberForest,4,879,termite,paper,termite_paper,50,3
Light,1,RubberForest,4,879,termite,paper,termite_paper,60,2
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,10,0
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,20,2
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,30,7
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,40,5
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,50,9
Light,1,RubberForest,4,879,tuna,paper,tuna_paper,60,6
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,10,0
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,20,1
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,30,2
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,40,2
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,50,0
Light,1,RubberForest,5,7389,termite,untreated,termite_untreated,60,0
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,10,1
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,20,3
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,30,3
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,40,5
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,50,7
Light,1,RubberForest,5,7389,tuna,untreated,tuna_untreated,60,8
Light,1,RubberForest,5,7389,termite,paper,termite_paper,10,1
Light,1,RubberForest,5,7389,termite,paper,termite_paper,20,0
Light,1,RubberForest,5,7389,termite,paper,termite_paper,30,0
Light,1,RubberForest,5,7389,termite,paper,termite_paper,40,0
Light,1,RubberForest,5,7389,termite,paper,termite_paper,50,1
Light,1,RubberForest,5,7389,termite,paper,termite_paper,60,0
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,10,0
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,20,0
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,30,0
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,40,3
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,50,4
Light,1,RubberForest,5,7389,tuna,paper,tuna_paper,60,8
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,10,1
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,20,0
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,30,1
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,40,2
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,50,1
Light,1,RubberForest,6,2094,termite,untreated,termite_untreated,60,0
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,10,1
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,20,3
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,30,4
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,40,1
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,50,3
Light,1,RubberForest,6,2094,tuna,untreated,tuna_untreated,60,3
Light,1,RubberForest,6,2094,termite,paper,termite_paper,10,0
Light,1,RubberForest,6,2094,termite,paper,termite_paper,20,1
Light,1,RubberForest,6,2094,termite,paper,termite_paper,30,0
Light,1,RubberForest,6,2094,termite,paper,termite_paper,40,1
Light,1,RubberForest,6,2094,termite,paper,termite_paper,50,1
Light,1,RubberForest,6,2094,termite,paper,termite_paper,60,3
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,10,2
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,20,3
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,30,5
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,40,7
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,50,9
Light,1,RubberForest,6,2094,tuna,paper,tuna_paper,60,10
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,10,0
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,20,0
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,30,0
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,40,2
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,50,1
Light,2,Rainforest,1,8293,termite,untreated,termite_untreated,60,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,10,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,20,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,30,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,40,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,50,0
Light,2,Rainforest,1,8293,tuna,untreated,tuna_untreated,60,0
Light,2,Rainforest,1,8293,termite,paper,termite_paper,10,0
Light,2,Rainforest,1,8293,termite,paper,termite_paper,20,0
Light,2,Rainforest,1,8293,termite,paper,termite_paper,30,2
Light,2,Rainforest,1,8293,termite,paper,termite_paper,40,1
Light,2,Rainforest,1,8293,termite,paper,termite_paper,50,1
Light,2,Rainforest,1,8293,termite,paper,termite_paper,60,0
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,10,2
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,20,2
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,30,6
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,40,10
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,50,11
Light,2,Rainforest,1,8293,tuna,paper,tuna_paper,60,13
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,10,1
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,20,1
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,30,1
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,40,1
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,50,1
Light,2,Rainforest,2,1407,termite,untreated,termite_untreated,60,1
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,10,0
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,20,0
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,30,1
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,40,0
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,50,0
Light,2,Rainforest,2,1407,tuna,untreated,tuna_untreated,60,0
Light,2,Rainforest,2,1407,termite,paper,termite_paper,10,0
Light,2,Rainforest,2,1407,termite,paper,termite_paper,20,0
Light,2,Rainforest,2,1407,termite,paper,termite_paper,30,0
Light,2,Rainforest,2,1407,termite,paper,termite_paper,40,1
Light,2,Rainforest,2,1407,termite,paper,termite_paper,50,0
Light,2,Rainforest,2,1407,termite,paper,termite_paper,60,3
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,10,0
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,20,0
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,30,1
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,40,1
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,50,1
Light,2,Rainforest,2,1407,tuna,paper,tuna_paper,60,3
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,10,1
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,20,0
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,30,1
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,40,4
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,50,1
Light,2,Rainforest,3,16964,termite,untreated,termite_untreated,60,2
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,10,7
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,20,14
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,30,22
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,40,24
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,50,30
Light,2,Rainforest,3,16964,tuna,untreated,tuna_untreated,60,35
Light,2,Rainforest,3,16964,termite,paper,termite_paper,10,10
Light,2,Rainforest,3,16964,termite,paper,termite_paper,20,10
Light,2,Rainforest,3,16964,termite,paper,termite_paper,30,11
Light,2,Rainforest,3,16964,termite,paper,termite_paper,40,5
Light,2,Rainforest,3,16964,termite,paper,termite_paper,50,3
Light,2,Rainforest,3,16964,termite,paper,termite_paper,60,2
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,10,6
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,20,11
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,30,15
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,40,19
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,50,20
Light,2,Rainforest,3,16964,tuna,paper,tuna_paper,60,25
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,10,0
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,20,0
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,30,0
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,40,0
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,50,2
Light,2,RubberForest,4,879,termite,untreated,termite_untreated,60,0
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,10,0
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,20,0
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,30,1
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,40,2
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,50,1
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,60,1
Light,2,RubberForest,4,879,termite,paper,termite_paper,10,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,20,1
Light,2,RubberForest,4,879,termite,paper,termite_paper,30,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,40,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,50,0
Light,2,RubberForest,4,879,termite,paper,termite_paper,60,0
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,10,1
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,20,2
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,30,7
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,40,4
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,50,4
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,60,4
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,10,2
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,20,3
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,30,0
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,40,1
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,50,4
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,60,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,10,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,20,3
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,30,5
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,40,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,50,3
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,60,4
Light,2,RubberForest,5,7389,termite,paper,termite_paper,10,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,20,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,30,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,40,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,50,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,60,1
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,10,4
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,20,5
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,30,3
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,40,8
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,50,7
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,60,7
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,10,1
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,20,0
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,30,4
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,40,4
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,50,3
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,60,0
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,10,3
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,20,4
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,30,2
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,40,3
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,50,4
Light,2,RubberForest,6,2094,tuna,untreated,tuna_untreated,60,4
Light,2,RubberForest,6,2094,termite,paper,termite_paper,10,8
Light,2,RubberForest,6,2094,termite,paper,termite_paper,20,10
Light,2,RubberForest,6,2094,termite,paper,termite_paper,30,9
Light,2,RubberForest,6,2094,termite,paper,termite_paper,40,17
Light,2,RubberForest,6,2094,termite,paper,termite_paper,50,15
Light,2,RubberForest,6,2094,termite,paper,termite_paper,60,9
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,10,8
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,20,6
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,30,5
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,40,2
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,50,1
Light,2,RubberForest,6,2094,tuna,paper,tuna_paper,60,5
